text,label
สินเชื่อ ปล่อยกู้,1
เพราะคุณคือคนพิเศษ!ลุ้นรับบัตรเติมเงินฟรี กด*139# สมัครดวงเฮง (3บ/ขค),1
"เกมออนไลน์ ลุ้นรับ10,000
 เติม-ถอน AUTOเร็ว10เท่า",1
มูลนิธิสมเด็จพระญาณสังวรฯ ขอเชิญร่วมสมทบทุนเพื่อจัดหาเครื่องมือแพทย์ที่จำเป็น มอบให้ 17 โรงพยาบาล บริจาค100บ. กด *948*1719*100# โทรออก หรือคลิก,1
"คุณสามารถกู้ 90,000 บาทจากธนาคารไทย คลิ๊ก:https://bit.ly/3l1fh4n",1
"คุณสามารถกู้ 230,000 บาทจากทางเราคลิ๊ก",1
"คุณสามารถกู้220,000 บาทจากทางเรา คลิ๊ก: cutt.ly/rTMqsj0",1
อยู่บ้านรับโชค ฟรีบัตรเติมเงิน500บ. ลุ้นกด*159# สมัครบริการสุขภาพ 5บ/ขค,1
"????????ชวนเพื่อนมารู้จักวิธีการสร้างรายได้รูปแบบใหม่ ง่ายๆ ????????มีรายได้2000+ต่อวันเพียงแค่อยู่บ้าน?? อย่าพลาดโอกาสในการสร้างชีวิตที่ดีขึ้น
 ??สร้างรายได้ง่ายๆ เพียงแค่มีมือถือหรือคอมพิวเตอร์
 ??วิธีการใหม่ที่ทำให้คุณรวยได้อย่างรวดเร็ว
 ??เรียนรู้เพิ่มเติม : th311.com
 =========================
 ?? หมายเหตุ : ตอบกลับข้อความสองครั้ง เพื่อคลิกURL เข้าสู่เว็บไซต์ หรือสามารถคัดลอกURLไปวางที่เบราว์เซอร์เพื่อเปิดเว็บได้เลย",1
"ยินดีด้วยคุณได้รับรางวัล??จากการร่วมกิจกรรมของเรา สามารถรับรางวัลได้เลย
 แค่แอดไลน์เรา",1
